BookNo,Title
1, The Gospel According to Saint Matthew
2, The Gospel According to Saint Mark
3, The Gospel According to Saint Luke
4, The Gospel According to Saint John
5, The Acts of the Apostles
6, The Epistle of Paul the Apostle to the Romans
7, The First Epistle of Paul the Apostle to the Corinthians
8, The Second Epistle of Paul the Apostle to the Corinthians
9, The Epistle of Paul the Apostle to the Galatians
10, The Epistle of Paul the Apostle to the Ephesians
11, The Epistle of Paul the Apostle to the Philippians
12, The Epistle of Paul the Apostle to the Colossians
13, The First Epistle of Paul the Apostle to the Thessalonians
14, The Second Epistle of Paul the Apostle to the Thessalonians
15, The First Epistle of Paul the Apostle to Timothy
16, The Second Epistle of Paul the Apostle to Timothy
17, The Epistle of Paul the Apostle to Titus
18, The Epistle of Paul the Apostle to Philemon
19, The Epistle of Paul the Apostle to the Hebrews
20, The General Epistle of James
21, The First Epistle General of Peter
22, The Second General Epistle of Peter
23, The First Epistle General of John
24, The Second Epistle General of John
25, The Third Epistle General of John
26, The General Epistle of Jude
27, The Revelation of Saint John the Devine
